"","date","day_of_week","is_weekday","location","hour","demand","wind_speed","temperature","activity"
"163","2025-09-02","Tuesday",1,"bristol",19,606.86,2.75417748359077,17.8937,0.760203135626704
"164","2025-09-02","Tuesday",1,"bristol",20,610.44,2.52517533350931,16.4357,0.832174140471705
"165","2025-09-02","Tuesday",1,"bristol",21,591.44,3.40433826713044,16.48867,0.667454282746585
"166","2025-09-02","Tuesday",1,"bristol",22,547.69,4.22215550703278,16.13125,0.360144081289184
"167","2025-09-02","Tuesday",1,"bristol",23,461.52,4.73738848595819,15.69814,0.280099462633328
"168","2025-09-02","Tuesday",1,"bristol",24,404.22,4.05330021171185,15.32168,0.118439282854289
"169","2025-09-02","Tuesday",1,"cardiff",1,194.99,4.37592043095144,13.86214,0.0629812122619752
"170","2025-09-02","Tuesday",1,"cardiff",2,189.78,4.05662535988001,13.49185,0.114054004590347
"171","2025-09-02","Tuesday",1,"cardiff",3,185.06,3.03823546925341,13.1113800000001,0
"172","2025-09-02","Tuesday",1,"cardiff",4,171.89,2.85699449025938,12.878775,0.150455239831796
"173","2025-09-02","Tuesday",1,"cardiff",5,176.93,3.41256357519564,12.52402,0.0662157721609519
"174","2025-09-02","Tuesday",1,"cardiff",6,175.04,3.53053611755642,12.351865,0.089043722497763
"175","2025-09-02","Tuesday",1,"cardiff",7,184.28,3.66984568830365,12.96908,0.0412101059010858
"176","2025-09-02","Tuesday",1,"cardiff",8,198.53,3.90136829413052,13.43731,0.999072946989553
"177","2025-09-02","Tuesday",1,"cardiff",9,218.7,3.74469290382923,13.9317,0.812330782343123
"178","2025-09-02","Tuesday",1,"cardiff",10,222.47,3.97828783704683,14.245535,0.391131526285381
"179","2025-09-02","Tuesday",1,"cardiff",11,225.43,4.78476637278671,15.58419,0.410581318453269
"180","2025-09-02","Tuesday",1,"cardiff",12,221.9,5.48074263823895,15.97085,0.231810584866926
"181","2025-09-02","Tuesday",1,"cardiff",13,215.91,5.41558894523102,16.420625,0.247663215520841
"182","2025-09-02","Tuesday",1,"cardiff",14,206.09,4.30258069124922,16.98459,0.411353220598548
"183","2025-09-02","Tuesday",1,"cardiff",15,205.86,3.59557051826933,17.588035,0.361592469273746
"184","2025-09-02","Tuesday",1,"cardiff",16,190.09,3.12860286881258,17.821925,0.22763910622908
"185","2025-09-02","Tuesday",1,"cardiff",17,195.58,2.88874033748901,18.119225,0.291696525480964
"186","2025-09-02","Tuesday",1,"cardiff",18,215.6,2.89509813239069,18.2676300000001,0.784053265224787
"187","2025-09-02","Tuesday",1,"cardiff",19,235.13,2.93401784177163,17.73845,0.760203135626704
"188","2025-09-02","Tuesday",1,"cardiff",20,232.04,3.7612385763802,16.7239050000001,0.832174140471705
"189","2025-09-02","Tuesday",1,"cardiff",21,234.68,4.6112566531965,15.973235,0.667454282746585
"190","2025-09-02","Tuesday",1,"cardiff",22,218.55,4.73866352119173,15.83944,0.360144081289184
"191","2025-09-02","Tuesday",1,"cardiff",23,199.44,4.60069467857116,15.70999,0.280099462633328
"192","2025-09-02","Tuesday",1,"cardiff",24,193.49,3.51265321705698,15.384235,0.118439282854289
"193","2025-09-02","Tuesday",1,"derby",1,349.69,4.20466637860233,12.1961250000001,0.0629812122619752
"194","2025-09-02","Tuesday",1,"derby",2,343.31,4.15730547746152,11.86978,0.114054004590347
"195","2025-09-02","Tuesday",1,"derby",3,339.78,4.06124875790325,11.39556,0
"196","2025-09-02","Tuesday",1,"derby",4,328.86,4.08288719073283,11.00573,0.150455239831796
"197","2025-09-02","Tuesday",1,"derby",5,330.42,3.74550187032312,10.783775,0.0662157721609519
"198","2025-09-02","Tuesday",1,"derby",6,342.79,3.18546601470486,10.762995,0.089043722497763
"199","2025-09-02","Tuesday",1,"derby",7,386.79,3.45890906491244,10.511075,0.0412101059010858
"200","2025-09-02","Tuesday",1,"derby",8,424.63,4.01284350074759,11.93536,0.999072946989553
"201","2025-09-02","Tuesday",1,"derby",9,405.37,4.49975227195917,13.75982,0.812330782343123
"202","2025-09-02","Tuesday",1,"derby",10,429.43,4.262971975069,15.568785,0.391131526285381
"203","2025-09-02","Tuesday",1,"derby",11,405.39,3.86981871911759,17.16329,0.410581318453269
"204","2025-09-02","Tuesday",1,"derby",12,410.96,3.848137942712,18.164215,0.231810584866926
"205","2025-09-02","Tuesday",1,"derby",13,432.73,4.25958694205901,18.001675,0.247663215520841
"206","2025-09-02","Tuesday",1,"derby",14,436.06,4.37741109832189,17.4289150000001,0.411353220598548
"207","2025-09-02","Tuesday",1,"derby",15,422.65,4.38310073667415,16.88492,0.361592469273746
"208","2025-09-02","Tuesday",1,"derby",16,443.01,4.75807464258752,16.839505,0.22763910622908
"209","2025-09-02","Tuesday",1,"derby",17,468.62,4.41987269538146,16.673915,0.291696525480964
"210","2025-09-02","Tuesday",1,"derby",18,463.82,2.89072295802616,16.483455,0.784053265224787
"211","2025-09-02","Tuesday",1,"derby",19,464.69,2.79242144879495,16.257015,0.760203135626704
"212","2025-09-02","Tuesday",1,"derby",20,466.97,2.64011671119075,15.72585,0.832174140471705
"213","2025-09-02","Tuesday",1,"derby",21,473.11,2.34407993407879,15.384365,0.667454282746585
"214","2025-09-02","Tuesday",1,"derby",22,440.02,2.39014260892936,14.742765,0.360144081289184
"215","2025-09-02","Tuesday",1,"derby",23,379.49,2.59683963345952,15.47756,0.280099462633328
"216","2025-09-02","Tuesday",1,"derby",24,360.01,2.95631575267057,15.292445,0.118439282854289
"217","2025-09-02","Tuesday",1,"swansea",1,307.61,5.55025978611975,14.070155,0.0629812122619752
"218","2025-09-02","Tuesday",1,"swansea",2,314.54,5.06746305887437,13.77508,0.114054004590347
"219","2025-09-02","Tuesday",1,"swansea",3,401.23,4.03069917083952,13.281305,0
"220","2025-09-02","Tuesday",1,"swansea",4,390.83,3.56382078264785,13.084835,0.150455239831796
"221","2025-09-02","Tuesday",1,"swansea",5,391.99,3.68517741104121,12.99472,0.0662157721609519
"222","2025-09-02","Tuesday",1,"swansea",6,418.1,3.68245249527889,12.7747450000001,0.089043722497763
"223","2025-09-02","Tuesday",1,"swansea",7,411.34,3.86847886091794,13.2845100000001,0.0412101059010858
"224","2025-09-02","Tuesday",1,"swansea",8,396.89,4.15957497846668,13.887505,0.999072946989553
"225","2025-09-02","Tuesday",1,"swansea",9,428.2,4.65892364098768,14.390685,0.812330782343123
"226","2025-09-02","Tuesday",1,"swansea",10,435.95,5.41549790303895,14.70354,0.391131526285381
"227","2025-09-02","Tuesday",1,"swansea",11,386.92,5.82155935185916,16.00021,0.410581318453269
"228","2025-09-02","Tuesday",1,"swansea",12,324.25,5.97207497037338,16.6593300000001,0.231810584866926
"229","2025-09-02","Tuesday",1,"swansea",13,317.22,5.24774176402431,17.200885,0.247663215520841
"230","2025-09-02","Tuesday",1,"swansea",14,301.94,4.38615469281209,17.3068500000001,0.411353220598548
"231","2025-09-02","Tuesday",1,"swansea",15,363.93,3.44532806529839,17.7355,0.361592469273746
"232","2025-09-02","Tuesday",1,"swansea",16,410.72,2.05444083853647,17.54556,0.22763910622908
"233","2025-09-02","Tuesday",1,"swansea",17,437.82,1.597789912409,17.4356300000001,0.291696525480964
"234","2025-09-02","Tuesday",1,"swansea",18,481.61,3.05749147779756,17.1895050000001,0.784053265224787
